"Source_country","Contestant","Total_points"
"Netherlands","Croatia",3
"Netherlands","Cyprus",12
"Netherlands","Czech Republic",18
"Netherlands","Denmark",28
"Netherlands","Estonia",10
"Netherlands","Finland",26
"Netherlands","France",36
"Netherlands","Germany",24
"Netherlands","Greece",22
"Netherlands","Hungary",8
"Netherlands","Iceland",25
"Netherlands","Ireland",4
"Netherlands","Israel",34
"Netherlands","Italy",36
"Netherlands","Lithuania",10
"Netherlands","Malta",16
"Netherlands","Moldova",17
"Netherlands","North Macedonia",4
"Netherlands","Norway",38
"Netherlands","Poland",19
"Netherlands","Portugal",45
"Netherlands","Romania",8
"Netherlands","Russia",16
"Netherlands","Serbia",3
"Netherlands","Slovenia",1
"Netherlands","Spain",22
"Netherlands","Sweden",73
"Netherlands","Switzerland",44
"Netherlands","Ukraine",30
"Netherlands","United Kingdom",17
"North Macedonia","Albania",30
"North Macedonia","Australia",15
"North Macedonia","Azerbaijan",12
"North Macedonia","Belgium",3
"North Macedonia","Cyprus",9
"North Macedonia","Czech Republic",5
"North Macedonia","Estonia",3
"North Macedonia","Finland",2
"North Macedonia","France",12
"North Macedonia","Iceland",6
"North Macedonia","Israel",8
"North Macedonia","Italy",46
"North Macedonia","Lithuania",1
"North Macedonia","Malta",16
"North Macedonia","Moldova",7
"North Macedonia","Netherlands",14
"North Macedonia","Norway",7
"North Macedonia","Poland",2
"North Macedonia","Russia",8
"North Macedonia","San Marino",8
"North Macedonia","Serbia",56
"North Macedonia","Slovenia",2
"North Macedonia","Spain",22
"North Macedonia","Sweden",13
"North Macedonia","Switzerland",21
"North Macedonia","Ukraine",12
"North Macedonia","United Kingdom",8
"Norway","Armenia",4
"Norway","Australia",36
"Norway","Austria",16
"Norway","Azerbaijan",9
"Norway","Belgium",18
"Norway","Bulgaria",39
"Norway","Croatia",1
"Norway","Cyprus",17
"Norway","Czech Republic",20
"Norway","Denmark",27
"Norway","Estonia",4
"Norway","Finland",30
"Norway","France",25
"Norway","Germany",18
"Norway","Greece",20
"Norway","Hungary",4
"Norway","Iceland",22
"Norway","Ireland",1
"Norway","Israel",29
"Norway","Italy",56
"Norway","Latvia",3
"Norway","Lithuania",53
"Norway","Malta",15
"Norway","Moldova",20
"Norway","Netherlands",39
"Norway","North Macedonia",10
"Norway","Poland",25
"Norway","Portugal",32
"Norway","Romania",10
"Norway","Russia",7
"Norway","Serbia",3
"Norway","Spain",18
"Norway","Sweden",105
"Norway","Switzerland",29
"Norway","Ukraine",32
"Norway","United Kingdom",15
"Poland","Albania",7
"Poland","Armenia",5
"Poland","Australia",56
"Poland","Austria",16
"Poland","Azerbaijan",5
"Poland","Belarus",4
"Poland","Belgium",30
"Poland","Bulgaria",22
"Poland","Croatia",7
"Poland","Cyprus",23
"Poland","Czech Republic",12
"Poland","Denmark",11
"Poland","Estonia",16
"Poland","Finland",18
"Poland","France",15
"Poland","Georgia",8
"Poland","Germany",11
"Poland","Greece",2
"Poland","Hungary",21
"Poland","Iceland",33
"Poland","Ireland",7
"Poland","Israel",40
"Poland","Italy",37
"Poland","Latvia",11
"Poland","Lithuania",13
"Poland","Malta",8
"Poland","Moldova",13
"Poland","Netherlands",29
"Poland","North Macedonia",8
"Poland","Norway",27
"Poland","Portugal",38
"Poland","Romania",7
"Poland","Russia",14
"Poland","San Marino",12
"Poland","Serbia",12
"Poland","Slovenia",16
"Poland","Spain",12
"Poland","Sweden",58
"Poland","Switzerland",26
"Poland","Ukraine",86
"Poland","United Kingdom",16
"Portugal","Albania",10
"Portugal","Armenia",1
"Portugal","Australia",28
"Portugal","Austria",18
"Portugal","Azerbaijan",20
"Portugal","Belgium",30
"Portugal","Bulgaria",27
"Portugal","Croatia",3
"Portugal","Cyprus",6
"Portugal","Czech Republic",17
"Portugal","Denmark",3
"Portugal","Estonia",27
"Portugal","Finland",15
"Portugal","France",37
"Portugal","Germany",8
"Portugal","Greece",6
"Portugal","Hungary",2
"Portugal","Iceland",20
"Portugal","Ireland",3
"Portugal","Israel",7
"Portugal","Italy",50
"Portugal","Lithuania",12
"Portugal","Malta",4
"Portugal","Moldova",48
"Portugal","Netherlands",35
"Portugal","North Macedonia",5
"Portugal","Norway",19
"Portugal","Romania",7
"Portugal","Russia",21
"Portugal","Serbia",12
"Portugal","Slovenia",6
"Portugal","Spain",66
"Portugal","Sweden",33
"Portugal","Switzerland",23
"Portugal","Ukraine",51
"Portugal","United Kingdom",16
"Romania","Albania",7
"Romania","Australia",29
"Romania","Austria",13
"Romania","Azerbaijan",20
"Romania","Belgium",7
"Romania","Bulgaria",25
"Romania","Croatia",6
"Romania","Cyprus",19
"Romania","Czech Republic",11
"Romania","Denmark",7
"Romania","Estonia",16
"Romania","Finland",24
"Romania","France",21
"Romania","Germany",9
"Romania","Greece",3
"Romania","Hungary",20
"Romania","Iceland",5
"Romania","Ireland",1
"Romania","Israel",24
"Romania","Italy",60
"Romania","Lithuania",9
"Romania","Malta",14
"Romania","Moldova",88
"Romania","Netherlands",40
"Romania","North Macedonia",7
"Romania","Norway",11
"Romania","Poland",1
"Romania","Portugal",30
"Romania","Russia",13
"Romania","Serbia",10
"Romania","Slovenia",3
"Romania","Spain",19
"Romania","Sweden",44
"Romania","Switzerland",31
"Romania","Ukraine",38
"Romania","United Kingdom",11
"Russia","Albania",3
"Russia","Armenia",24
"Russia","Australia",15
"Russia","Austria",8
"Russia","Azerbaijan",52
"Russia","Belarus",15
"Russia","Belgium",3
"Russia","Bulgaria",6
"Russia","Cyprus",44
"Russia","Czech Republic",2
"Russia","Denmark",7
"Russia","Estonia",9
"Russia","Finland",8
"Russia","France",18
"Russia","Georgia",5
"Russia","Germany",4
"Russia","Greece",17
"Russia","Hungary",1
"Russia","Iceland",10
"Russia","Israel",23
"Russia","Italy",28
"Russia","Latvia",4
"Russia","Lithuania",5
"Russia","Malta",18
"Russia","Moldova",39
"Russia","Netherlands",5
"Russia","North Macedonia",4
"Russia","Norway",15
"Russia","Poland",5
"Russia","San Marino",5
"Russia","Serbia",3
"Russia","Slovenia",6
"Russia","Spain",1
"Russia","Sweden",13
"Russia","Switzerland",8
"Russia","Ukraine",25
"Russia","United Kingdom",6
"San Marino","Albania",9
"San Marino","Armenia",6
"San Marino","Australia",18
"San Marino","Austria",7
"San Marino","Azerbaijan",21
"San Marino","Belgium",20
"San Marino","Bulgaria",22
"San Marino","Croatia",3
"San Marino","Cyprus",37
"San Marino","Czech Republic",10
"San Marino","Denmark",6
"San Marino","Estonia",15
"San Marino","Finland",17
"San Marino","France",22
"San Marino","Georgia",6
"San Marino","Germany",14
"San Marino","Greece",50
"San Marino","Hungary",7
"San Marino","Iceland",8
"San Marino","Ireland",4
"San Marino","Israel",35
"San Marino","Italy",104
"San Marino","Latvia",6
"San Marino","Lithuania",24
"San Marino","Malta",10
"San Marino","Moldova",38
"San Marino","Netherlands",20
"San Marino","North Macedonia",1
"San Marino","Norway",20
"San Marino","Poland",13
"San Marino","Portugal",19
"San Marino","Romania",7
"San Marino","Russia",40
"San Marino","Serbia",11
"San Marino","Slovenia",6
"San Marino","Spain",24
"San Marino","Sweden",34
"San Marino","Switzerland",15
"San Marino","Ukraine",54
"San Marino","United Kingdom",29
"Serbia","Albania",1
"Serbia","Armenia",10
"Serbia","Australia",22
"Serbia","Austria",17
"Serbia","Azerbaijan",19
"Serbia","Belgium",16
"Serbia","Bulgaria",36
"Serbia","Croatia",27
"Serbia","Cyprus",15
"Serbia","Czech Republic",17
"Serbia","Denmark",6
"Serbia","Estonia",25
"Serbia","Finland",42
"Serbia","France",32
"Serbia","Germany",10
"Serbia","Greece",6
"Serbia","Hungary",44
"Serbia","Iceland",17
"Serbia","Israel",36
"Serbia","Italy",73
"Serbia","Lithuania",13
"Serbia","Malta",10
"Serbia","Moldova",32
"Serbia","Netherlands",15
"Serbia","North Macedonia",24
"Serbia","Norway",26
"Serbia","Portugal",32
"Serbia","Romania",9
"Serbia","Russia",27
"Serbia","San Marino",1
"Serbia","Slovenia",38
"Serbia","Spain",19
"Serbia","Sweden",45
"Serbia","Switzerland",13
"Serbia","Ukraine",34
"Serbia","United Kingdom",3
"Slovenia","Albania",12
"Slovenia","Armenia",7
"Slovenia","Australia",22
"Slovenia","Austria",21
"Slovenia","Azerbaijan",14
"Slovenia","Belgium",32
"Slovenia","Bulgaria",27
"Slovenia","Croatia",32
"Slovenia","Cyprus",14
"Slovenia","Czech Republic",29
"Slovenia","Denmark",14
"Slovenia","Estonia",16
"Slovenia","Finland",18
"Slovenia","France",16
"Slovenia","Germany",4
"Slovenia","Greece",23
"Slovenia","Hungary",11
"Slovenia","Iceland",20
"Slovenia","Israel",4
"Slovenia","Italy",99
"Slovenia","Latvia",7
"Slovenia","Lithuania",20
"Slovenia","Malta",6
"Slovenia","Moldova",16
"Slovenia","Netherlands",28
"Slovenia","North Macedonia",14
"Slovenia","Norway",21
"Slovenia","Poland",9
"Slovenia","Portugal",23
"Slovenia","Romania",2
"Slovenia","Russia",19
"Slovenia","Serbia",75
"Slovenia","Spain",7
"Slovenia","Sweden",47
"Slovenia","Switzerland",27
"Slovenia","Ukraine",44
"Slovenia","United Kingdom",12
"Spain","Armenia",23
"Spain","Australia",43
"Spain","Austria",13
"Spain","Azerbaijan",22
"Spain","Belgium",20
"Spain","Bulgaria",45
"Spain","Cyprus",31
"Spain","Czech Republic",20
"Spain","Estonia",10
"Spain","Finland",15
"Spain","France",63
"Spain","Germany",13
"Spain","Greece",5
"Spain","Hungary",10
"Spain","Iceland",15
"Spain","Ireland",6
"Spain","Israel",41
"Spain","Italy",93
"Spain","Lithuania",6
"Spain","Malta",17
"Spain","Moldova",21
"Spain","Netherlands",22
"Spain","Norway",23
"Spain","Poland",6
"Spain","Portugal",44
"Spain","Romania",21
"Spain","Russia",16
"Spain","Serbia",8
"Spain","Slovenia",1
"Spain","Sweden",61
"Spain","Switzerland",31
"Spain","Ukraine",35
"Spain","United Kingdom",12
"Sweden","Armenia",6
"Sweden","Australia",64
"Sweden","Austria",21
"Sweden","Azerbaijan",25
"Sweden","Belgium",22
"Sweden","Bulgaria",24
"Sweden","Croatia",7
"Sweden","Cyprus",26
"Sweden","Czech Republic",18
"Sweden","Denmark",24
"Sweden","Estonia",22
"Sweden","Finland",52
"Sweden","France",40
"Sweden","Germany",6
"Sweden","Hungary",4
"Sweden","Iceland",25
"Sweden","Ireland",4
"Sweden","Israel",26
"Sweden","Italy",45
"Sweden","Lithuania",25
"Sweden","Malta",23
"Sweden","Moldova",16
"Sweden","Netherlands",30
"Sweden","North Macedonia",2
"Sweden","Norway",73
"Sweden","Poland",20
"Sweden","Portugal",22
"Sweden","Romania",3
"Sweden","Russia",20
"Sweden","Serbia",13
"Sweden","Spain",16
"Sweden","Switzerland",35
"Sweden","Ukraine",35
"Sweden","United Kingdom",18
"Switzerland","Albania",36
"Switzerland","Armenia",5
"Switzerland","Australia",27
"Switzerland","Austria",29
"Switzerland","Azerbaijan",2
"Switzerland","Belgium",23
"Switzerland","Bulgaria",27
"Switzerland","Croatia",14
"Switzerland","Cyprus",10
"Switzerland","Czech Republic",12
"Switzerland","Denmark",3
"Switzerland","Estonia",20
"Switzerland","Finland",13
"Switzerland","France",29
"Switzerland","Germany",41
"Switzerland","Greece",12
"Switzerland","Hungary",8
"Switzerland","Iceland",10
"Switzerland","Ireland",6
"Switzerland","Israel",18
"Switzerland","Italy",92
"Switzerland","Latvia",3
"Switzerland","Lithuania",20
"Switzerland","Malta",6
"Switzerland","Moldova",4
"Switzerland","Netherlands",38
"Switzerland","North Macedonia",14
"Switzerland","Norway",27
"Switzerland","Poland",6
"Switzerland","Portugal",71
"Switzerland","Romania",4
"Switzerland","Russia",12
"Switzerland","Serbia",56
"Switzerland","Spain",25
"Switzerland","Sweden",52
"Switzerland","Ukraine",25
"Switzerland","United Kingdom",12
"Ukraine","Armenia",9
"Ukraine","Australia",24
"Ukraine","Austria",7
"Ukraine","Azerbaijan",34
"Ukraine","Belarus",20
"Ukraine","Belgium",23
"Ukraine","Bulgaria",5
"Ukraine","Croatia",15
"Ukraine","Cyprus",4
"Ukraine","Czech Republic",24
"Ukraine","Denmark",11
"Ukraine","Estonia",14
"Ukraine","Finland",22
"Ukraine","France",45
"Ukraine","Georgia",9
"Ukraine","Greece",7
"Ukraine","Hungary",15
"Ukraine","Iceland",18
"Ukraine","Israel",37
"Ukraine","Italy",31
"Ukraine","Latvia",13
"Ukraine","Lithuania",51
"Ukraine","Malta",5
"Ukraine","Moldova",34
"Ukraine","Netherlands",22
"Ukraine","Norway",11
"Ukraine","Poland",38
"Ukraine","Portugal",32
"Ukraine","Romania",3
"Ukraine","Russia",16
"Ukraine","Slovenia",8
"Ukraine","Spain",1
"Ukraine","Sweden",39
"Ukraine","Switzerland",21
"Ukraine","United Kingdom",28
"United Kingdom","Albania",7
"United Kingdom","Armenia",3
"United Kingdom","Australia",61
"United Kingdom","Austria",15
"United Kingdom","Azerbaijan",17
"United Kingdom","Belarus",1
"United Kingdom","Belgium",22
"United Kingdom","Bulgaria",59
"United Kingdom","Croatia",6
"United Kingdom","Cyprus",18
"United Kingdom","Czech Republic",6
"United Kingdom","Denmark",13
"United Kingdom","Estonia",19
"United Kingdom","Finland",27
"United Kingdom","France",25
"United Kingdom","Georgia",12
"United Kingdom","Germany",3
"United Kingdom","Greece",4
"United Kingdom","Hungary",1
"United Kingdom","Iceland",28
"United Kingdom","Ireland",13
"United Kingdom","Israel",33
"United Kingdom","Italy",7
"United Kingdom","Latvia",3
"United Kingdom","Lithuania",65
"United Kingdom","Malta",6
"United Kingdom","Moldova",25
"United Kingdom","Netherlands",14
"United Kingdom","North Macedonia",12
"United Kingdom","Norway",32
"United Kingdom","Poland",46
"United Kingdom","Portugal",30
"United Kingdom","Romania",10
"United Kingdom","Russia",11
"United Kingdom","San Marino",3
"United Kingdom","Serbia",4
"United Kingdom","Slovenia",1
"United Kingdom","Spain",29
"United Kingdom","Sweden",63
"United Kingdom","Switzerland",23
"United Kingdom","Ukraine",35
